ID,SecondaryKey,Caption,Icon,Link,SeqNo,IsFraming,ParentID,ItemType,ObjectName
2049,,Document,,,1,0,0,0,
2050,WORKFLOW,Workflow,icon-cog3,/workflow/workflowlist,5,0,2069,0,
2051,,Project,,,2,0,0,0,
2052,INBOX,INBOX,icon-envelope,/inbox/inboxlist,3,0,2086,0,
2055,PENDING,Pending,icon-stop,/pending/pendinglist,2,0,2093,0,
2056,SIGNED,Signed,icon-pencil3,/signed/signedlist,4,0,2093,0,
2059,,Storage,,,5,0,0,0,
2060,ROTATIONROOT,Rotation,icon-loop4,,2,0,2051,0,
2061,DRDRIVE,DRD DRIVE,icon-cloud-upload,/drdrive,12,0,2086,0,
2062,ALTERED,Altered,icon-split,/altered/alteredlist,1,0,2093,0,
2063,REVISED,Revised,icon-reset,/revised/revisedlist,3,0,2093,0,
2064,DOCUMENT,DRD DOCUMENT,icon-files-empty,/document/documentlist,6,0,2086,0,
2065,INPROGRESS,In Progress,,/inprogress/inprogresslist,1,0,2060,0,
2066,DECLINED,Declined,,/declined/declinedlist,2,0,2060,0,
2067,COMPLETED,Completed,,/completed/completedlist,3,0,2060,0,
2068,ROTATION,DOC ROTATION,icon-stack2,/rotation/rotationlist,4,0,2086,0,
2069,,Master,,,1,0,2087,0,
2070,,User,icon-users2,/member/memberlist,1,0,2069,0,
2071,,Project,icon-stack-check,/project/projectlist,6,0,2069,0,
2075,,Company Profile,icon-profile,/company/company,5,0,2085,0,
2076,,Stamp,icon-stamp,/stamp/stamplist,6,0,2085,0,
2077,CONTACT,MY CONTACT,icon-users2,/Invitation/Invitationlist,8,0,2086,0,
2078,,Admin,,,7,0,0,0,
2079,,Content,icon-iphone,,0,0,2078,0,
2080,,Article/Event,,/news/newslist,0,0,2079,0,
2081,,Video Tube,,/newsvideo/newsvideolist,2,0,2079,0,
2082,,Pod Cast,,/podcast/podcastlist,4,0,2079,0,
2083,,Is Template,,,1,0,2050,1,ISTEMPLATE
2084,,Is Template,,,1,0,2061,1,ISTEMPLATEDRD
2085,,Setting,,,2,0,2087,0,
2086,,PRIMARY,,,0,0,0,0,
2087,,ADVANCE,,,1,0,0,0,
2088,ADDROTATION,ADD ROTATION,,/rotation/rotation,0,0,2086,0,
2089,,-,,,1,0,2086,0,
2090,,-,,,5,0,2086,0,
2091,,-,,,7,0,2086,0,
2092,,-,,,11,0,2086,0,
2093,,Drd Log,,,3,0,2087,0,